/;Библиотека
/math;Математика

/math/geom;Геометрия
/math/geom/diff;Дифференциальная геометрия

/math/analysis;Анализ
/math/analysis/intro;Введение в анализ
/math/analysis/diff;Дифференциальное исчисление
/math/analysis/int;Интегральное исчисление
/math/analysis/func;Теория функций
/math/analysis/diffeq;Дифференциальные уравнения

/math/algebra;Алгебра

/math/topology;Топология

/math/comb;Комбинаторный анализ.Теория графов

/math/numbers;Теория чисел

/math/games;Математические игры и развлечения

/math/num;Вычислительная математика
/math/num/alg;Численные методы алгебры
/math/num/ode;Численные методы решения обыкновенных дифференциальных уравнений
/math/num/pde;Численные методы решения дифференциальных уравнений с частными производными
/math/num/approx;Приближение и интерполирование
